episode,frames,t_start,t_end,duration_s,det_ratio,median_conf,missing_xy_ratio,displacement_px,path_len_px,median_speed_px_s,p95_speed_px_s,max_step_px,p99_speed_px_s,max_speed_px_s,jump_ratio,tortuosity,keep,reject_reason
154,19,414.016,414.737,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
155,34,415.9,417.222,1.3220000000000027,0.11764705882352941,0.9080999999999999,0.0,96.86767599669149,96.8768996023487,31.202443814531385,287.9192494481576,50.68806736303893,970.3804384607333,1267.2016840771257,0.0,1.0000952186120118,False,few_detections
156,19,418.385,419.106,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
157,19,420.268,420.99,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
158,19,422.152,422.874,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
159,19,424.036,424.757,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
160,19,425.92,426.641,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
161,19,427.803,428.525,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
162,19,429.687,430.408,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
163,19,431.571,432.292,0.7209999999999468,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
164,19,433.454,434.176,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
165,19,435.338,436.06,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
166,19,437.222,437.943,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
167,19,439.106,439.827,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
168,19,440.989,441.711,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
169,19,442.873,443.594,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
170,19,444.757,445.478,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
171,19,446.64,447.362,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
172,19,448.524,449.246,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
173,19,450.408,451.129,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
174,19,452.292,453.013,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
175,19,454.175,454.897,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
176,19,456.059,456.78,0.7209999999999468,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
177,19,457.943,458.664,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
178,19,459.826,460.548,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
179,19,461.71,462.432,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
180,19,463.594,464.315,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
181,19,465.478,466.199,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
182,19,467.361,468.083,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
183,19,469.245,469.966,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
185,19,479.305,480.026,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
186,19,481.188,481.91,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
187,19,483.072,483.794,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
188,19,484.956,485.677,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
189,19,486.84,487.561,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
190,19,488.723,489.445,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
191,19,490.607,491.328,0.7209999999999468,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
192,19,492.491,493.212,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
193,19,494.374,495.096,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
194,19,496.258,496.98,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
195,19,498.142,498.863,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
196,19,500.026,500.747,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
198,19,508.683,509.404,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
199,19,510.566,511.288,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
200,19,512.45,513.172,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
201,19,514.334,515.055,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
202,19,516.218,516.939,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
203,19,518.101,518.823,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
204,19,519.985,520.706,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
205,19,521.869,522.59,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
206,19,523.752,524.474,0.7220000000000937,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
208,19,532.65,533.371,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
209,19,534.534,535.255,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
210,19,536.417,537.139,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
211,19,538.301,539.022,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
212,19,540.185,540.906,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
214,19,548.682,549.403,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
215,19,550.565,551.287,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
216,19,552.449,553.17,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
217,19,554.333,555.054,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
218,19,556.216,556.938,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
219,19,558.1,558.822,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
220,19,559.984,560.705,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
222,19,565.956,566.677,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
223,19,567.839,568.561,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
224,19,569.723,570.444,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
225,19,571.607,572.328,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
227,19,579.222,579.943,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
228,19,581.105,581.827,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
229,19,582.989,583.711,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
230,19,584.873,585.594,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
231,19,586.757,587.478,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
232,19,588.64,589.362,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
233,19,590.524,591.245,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
234,19,592.408,593.129,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
235,19,594.291,595.013,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
236,19,596.175,596.897,0.7220000000000937,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
238,19,605.233,605.954,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
239,19,607.117,607.838,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
240,19,609.0,609.722,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
241,19,610.884,611.606,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
242,19,612.768,613.489,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
244,19,622.387,623.108,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
245,19,624.271,624.992,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
246,19,626.154,626.876,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
247,19,628.038,628.759,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
